dates,diamonds,butter,cars,cucumber,bananas
2000-05-23,1588.12,939.75,1230.71,1042.79,648.64
2000-05-24,1587.34,939.32,1232.77,1043.61,645.97
2000-05-25,1585.85,940.81,1235.28,1043.86,646.12
2000-05-26,1587.36,940.37,1236.99,1044.2,638.19
2000-05-29,1585.59,941.73,1235.04,1044.42,641.52
2000-05-30,1584.9,941.24,1236.77,1042.74,639.09
2000-05-31,1585.29,942.14,1235.55,1042.12,646.57
2000-06-01,1585.08,942.94,1238.95,1042.42,655.02
2000-06-02,1585.34,943.25,1237.68,1041.31,652.87
2000-06-05,1585.27,940.91,1236.93,1040.85,640.45
2000-06-06,1583.46,940.43,1233.06,1040.82,639.13
2000-06-07,1582.35,939.6,1230.14,1040.42,640.19
2000-06-08,1580.61,941.05,1230.35,1040.54,635.29
2000-06-09,1579.07,942.96,1227.16,1040.38,629.96
2000-06-12,1579.42,946.84,1227.54,1041.7,644.83
2000-06-13,1580.8,947.36,1226.95,1041.8,645.37
2000-06-14,1580.18,947.18,1225.76,1041.59,647.11
2000-06-15,1580.91,947.84,1228.89,1041.73,647.3
2000-06-16,1578.87,946.24,1225.23,1041.3,649.65
2000-06-19,1579.69,947.28,1226.63,1042.6,659.53
2000-06-20,1579.35,948.32,1225.91,1041.59,648.77
2000-06-21,1579.06,950.44,1224.68,1042.2,652.93
2000-06-22,1577.5,951.72,1222.88,1042.49,651.63
2000-06-23,1578.54,951.22,1223.5,1041.34,646.48
2000-06-26,1578.06,948.56,1220.93,1040.89,645.96
2000-06-27,1576.3,949.54,1226.27,1041.66,646.31
2000-06-28,1575.3,950.84,1226.02,1041.78,650.11
2000-06-29,1576.12,951.87,1223.98,1042.6,650.09
2000-06-30,1577.46,954.77,1223.85,1042.55,645.15
2000-07-03,1577.51,957.08,1225.33,1042.96,642.24
2000-07-04,1577.31,955.76,1227.3,1042.9,636.24
2000-07-05,1577.98,953.36,1224.91,1041.42,636.34
2000-07-06,1578.44,953.21,1219.93,1041.41,634.9
2000-07-07,1578.03,953.57,1215.71,1040.93,629.91
2000-07-10,1578.51,955.86,1219.03,1041.93,634.14
2000-07-11,1578.02,955.18,1220.17,1042.13,632.61
2000-07-12,1578.09,954.89,1225.87,1041.57,638.99
2000-07-13,1577.35,956.74,1232.31,1041.43,645.33
2000-07-14,1578.13,957.63,1233.65,1041.39,650.74
2000-07-17,1578.31,961.61,1237.3,1041.89,653.32
2000-07-18,1581.16,959.67,1240.05,1041.91,651.06
2000-07-19,1580.72,955.56,1236.25,1039.75,647.48
2000-07-20,1581.43,958.54,1237.77,1039.6,654.27
2000-07-21,1580.72,958.74,1240.9,1039.76,650.42
2000-07-24,1579.33,956.75,1239.06,1041.01,648.15
2000-07-25,1580.56,957.83,1239.49,1041.18,642.95
2000-07-26,1578.54,957.57,1238.45,1039.46,643.88
2000-07-27,1577.66,956.63,1233.54,1039.21,650.08
2000-07-28,1579.53,956.24,1234.31,1037.52,652.19
2000-07-31,1578.24,956.18,1232.85,1037.78,656.21
2000-08-01,1578.94,955.75,1230.51,1035.61,652.68
2000-08-02,1579.62,958.45,1230.84,1035.79,653.22
2000-08-03,1580.55,956.3,1231.04,1035.57,651.16
2000-08-04,1579.87,957.78,1231.2,1036.35,653.16
2000-08-07,1580.27,958.61,1229.25,1035.94,655.72
2000-08-08,1579.25,960.12,1227.21,1034.33,652.67
2000-08-09,1582.22,961.86,1231.83,1034.35,649.73
2000-08-10,1579.85,964.08,1232.72,1033.5,656.61
2000-08-11,1578.48,964.19,1233.05,1033.0,653.09
2000-08-14,1579.57,963.38,1232.22,1033.34,649.23
2000-08-15,1582.51,961.77,1232.25,1033.39,657.37
2000-08-16,1581.22,959.25,1232.66,1033.84,651.08
2000-08-17,1581.24,958.42,1229.14,1034.13,647.26
2000-08-18,1580.25,957.6,1225.97,1034.6,646.24
2000-08-21,1579.7,954.78,1223.0,1034.41,649.56
2000-08-22,1582.07,955.41,1226.89,1035.17,646.72
2000-08-23,1581.71,955.52,1230.53,1034.91,640.11
2000-08-24,1581.13,955.98,1227.97,1033.85,644.62
2000-08-25,1580.68,957.65,1225.52,1034.53,642.21
2000-08-28,1580.35,956.92,1226.25,1034.28,652.15
2000-08-29,1579.04,953.74,1223.5,1034.41,650.79
2000-08-30,1581.58,952.4,1224.58,1035.12,649.99
2000-08-31,1582.45,954.49,1219.43,1034.65,643.86
2000-09-01,1582.49,955.46,1221.82,1035.38,644.91
2000-09-04,1584.18,951.39,1217.64,1036.17,642.71
2000-09-05,1584.93,952.43,1219.24,1037.51,651.33
2000-09-06,1584.54,950.77,1220.04,1038.58,658.39
2000-09-07,1583.95,951.05,1216.7,1039.18,645.52
2000-09-08,1583.91,950.86,1217.43,1038.71,640.88
2000-09-11,1585.27,952.07,1219.87,1040.46,639.01
2000-09-12,1585.03,952.72,1219.1,1040.45,631.27
2000-09-13,1585.51,952.87,1215.86,1040.96,625.92
2000-09-14,1585.17,955.19,1216.71,1042.0,628.67
2000-09-15,1583.8,957.19,1218.82,1042.36,631.07
2000-09-18,1581.4,959.12,1216.91,1042.63,622.87
2000-09-19,1580.66,959.14,1213.19,1041.79,621.98
2000-09-20,1581.48,958.09,1207.9,1040.7,623.58
2000-09-21,1580.7,956.66,1207.65,1040.78,625.01
2000-09-22,1581.11,957.13,1209.18,1040.51,630.17
2000-09-25,1582.07,956.93,1207.07,1040.54,630.91
2000-09-26,1582.04,956.69,1205.84,1039.82,634.02
2000-09-27,1581.11,955.51,1204.28,1039.8,638.98
2000-09-28,1580.64,958.9,1203.94,1039.75,640.67
2000-09-29,1579.79,958.43,1199.86,1038.92,636.23
2000-10-02,1580.17,957.69,1196.6,1038.57,627.79
2000-10-03,1579.62,955.44,1195.26,1039.08,622.31
2000-10-04,1578.9,955.54,1191.23,1039.3,633.17
2000-10-05,1576.82,957.08,1189.69,1039.51,628.64
2000-10-06,1576.43,957.34,1188.31,1038.03,630.43
2000-10-09,1575.11,958.81,1185.01,1038.29,622.68
2000-10-10,1575.12,957.2,1187.01,1036.78,624.3
2000-10-11,1575.54,955.26,1188.73,1036.6,626.74
2000-10-12,1576.31,952.37,1187.3,1036.12,621.48
2000-10-13,1574.26,950.43,1188.44,1035.77,629.79
2000-10-16,1574.77,950.61,1184.99,1035.26,622.96
2000-10-17,1573.35,953.61,1184.5,1035.96,627.13
2000-10-18,1574.35,957.35,1181.66,1034.18,627.77
2000-10-19,1575.77,960.61,1181.52,1034.51,629.17
2000-10-20,1576.71,958.86,1177.29,1033.74,627.02
2000-10-23,1577.48,956.48,1175.79,1035.13,622.16
2000-10-24,1577.53,956.51,1177.73,1035.89,622.93
2000-10-25,1577.65,957.5,1177.91,1035.68,624.57
2000-10-26,1575.66,957.12,1178.32,1036.79,618.65
2000-10-27,1573.54,958.26,1174.63,1035.94,613.99
2000-10-30,1576.21,958.37,1172.42,1036.66,611.09
2000-10-31,1575.27,956.34,1173.08,1035.03,606.18
2000-11-01,1574.63,956.17,1171.51,1034.23,603.98
2000-11-02,1576.85,954.73,1170.48,1033.24,600.55
2000-11-03,1576.37,954.38,1171.41,1031.9,603.97
2000-11-06,1576.81,956.8,1170.87,1031.65,608.02
2000-11-07,1575.94,954.11,1171.79,1031.72,602.98
2000-11-08,1575.62,952.08,1168.41,1031.05,601.6
2000-11-09,1575.67,958.23,1169.71,1032.53,607.27
2000-11-10,1576.7,959.72,1170.3,1030.45,607.32
2000-11-13,1579.27,961.46,1169.95,1030.45,600.94
2000-11-14,1580.61,958.78,1169.7,1030.66,601.33
2000-11-15,1579.86,962.4,1171.87,1029.22,604.63
2000-11-16,1580.0,964.74,1173.28,1029.7,602.63
2000-11-17,1579.22,960.73,1174.1,1029.98,596.66
2000-11-20,1580.94,955.13,1169.32,1030.0,592.87
2000-11-21,1581.44,955.62,1171.89,1028.45,593.48
2000-11-22,1582.88,952.26,1170.57,1027.24,594.89
2000-11-23,1582.52,950.4,1172.93,1027.7,589.45
2000-11-24,1582.45,952.74,1177.91,1028.6,582.59
2000-11-27,1583.22,953.55,1179.08,1028.15,584.37
2000-11-28,1582.3,959.13,1178.73,1028.3,583.12
2000-11-29,1583.61,961.01,1176.35,1029.02,586.63
2000-11-30,1584.36,961.29,1178.92,1029.31,587.71
2000-12-01,1584.0,963.93,1174.23,1029.99,594.81
2000-12-04,1583.7,960.24,1175.15,1030.04,595.9
2000-12-05,1585.06,962.6,1176.78,1030.22,600.2
2000-12-06,1583.89,958.01,1175.5,1028.13,600.64
2000-12-07,1585.22,951.74,1173.38,1027.33,596.65
2000-12-08,1583.75,950.05,1174.67,1026.29,592.05
2000-12-11,1582.49,951.01,1176.24,1024.53,598.81
2000-12-12,1583.26,952.47,1181.49,1024.3,598.03
2000-12-13,1581.96,951.33,1179.37,1024.11,591.69
2000-12-14,1582.3,950.53,1178.31,1025.17,604.74
2000-12-15,1583.0,955.7,1180.17,1025.14,613.18
2000-12-18,1580.98,956.13,1181.62,1024.7,607.38
2000-12-19,1581.75,954.24,1185.37,1023.96,601.55
2000-12-20,1580.05,955.06,1185.92,1024.42,611.68
2000-12-21,1578.53,954.71,1185.2,1022.69,605.14
2000-12-22,1577.59,954.11,1185.22,1023.13,605.02
2000-12-26,1579.52,952.81,1184.64,1022.62,596.4
2000-12-27,1580.62,949.95,1183.31,1021.58,588.48
2000-12-28,1582.05,949.87,1180.75,1023.46,582.93
2000-12-29,1582.32,954.3,1182.94,1024.19,587.18
2001-01-02,1583.96,954.59,1185.01,1024.57,590.61
2001-01-03,1581.3,953.32,1186.65,1024.27,603.95
2001-01-04,1581.89,952.14,1187.87,1023.78,601.45
2001-01-05,1582.24,950.11,1189.12,1024.38,592.61
2001-01-08,1582.71,953.0,1191.33,1024.59,590.82
2001-01-09,1583.12,957.16,1188.17,1023.97,591.55
2001-01-10,1584.13,959.13,1189.68,1024.03,593.85
2001-01-11,1584.57,961.24,1189.76,1023.57,589.41
2001-01-12,1583.89,969.4,1190.51,1024.13,591.84
2001-01-15,1583.43,970.72,1192.63,1024.39,589.45
2001-01-16,1582.06,971.17,1188.91,1024.83,597.25
2001-01-17,1580.91,972.76,1190.03,1023.36,589.6
2001-01-18,1581.65,973.14,1189.07,1023.56,589.24
2001-01-19,1580.19,972.4,1191.19,1023.44,587.51
2001-01-22,1577.61,966.77,1188.3,1024.45,585.54
2001-01-23,1577.63,963.85,1190.36,1025.34,582.51
2001-01-24,1578.67,958.86,1189.36,1026.56,579.13
2001-01-25,1575.74,955.27,1191.75,1026.94,578.83
2001-01-26,1576.47,949.07,1191.5,1028.01,578.01
2001-01-29,1576.25,949.81,1194.04,1028.43,584.33
2001-01-30,1576.23,950.1,1196.34,1028.35,578.0
2001-01-31,1575.51,950.09,1196.78,1028.69,577.3
2001-02-01,1576.51,946.59,1194.76,1028.36,579.72
2001-02-02,1577.7,954.53,1198.06,1029.37,584.1
2001-02-05,1577.79,954.45,1198.41,1028.98,587.87
2001-02-06,1576.73,951.7,1195.43,1028.77,586.34
2001-02-07,1577.45,948.2,1196.81,1027.93,585.33
2001-02-08,1576.88,946.78,1196.34,1028.72,585.41
2001-02-09,1575.33,947.7,1196.23,1027.14,586.31
2001-02-12,1576.36,947.22,1194.16,1026.38,587.45
2001-02-13,1576.32,944.92,1193.93,1027.74,586.76
2001-02-14,1577.44,945.61,1194.74,1027.38,585.17
2001-02-15,1575.89,947.02,1195.86,1027.27,578.67
2001-02-16,1575.28,941.72,1195.68,1028.36,575.88
2001-02-19,1577.19,940.11,1195.87,1028.58,571.36
2001-02-20,1578.64,939.6,1197.68,1028.49,570.65
2001-02-21,1578.24,940.43,1196.78,1027.58,575.65
2001-02-22,1579.24,941.11,1195.64,1027.82,577.16
2001-02-23,1579.64,945.11,1195.32,1027.72,576.89
2001-02-26,1581.55,948.74,1194.7,1028.26,578.3
2001-02-27,1583.51,947.15,1196.08,1028.38,585.52
2001-02-28,1581.89,942.81,1196.25,1028.13,581.44
2001-03-01,1581.86,940.75,1196.2,1027.81,577.26
2001-03-02,1583.77,938.75,1193.0,1027.47,580.51
2001-03-05,1581.91,937.69,1193.17,1027.95,576.72
2001-03-06,1581.73,936.69,1191.29,1027.5,575.57
2001-03-07,1582.35,933.81,1191.07,1026.67,575.56
2001-03-08,1581.75,933.05,1193.71,1026.83,583.47
2001-03-09,1582.12,932.31,1194.05,1025.42,581.92
2001-03-12,1582.04,930.3,1191.89,1025.78,584.32
2001-03-13,1582.67,932.01,1189.24,1025.57,582.89
2001-03-14,1582.24,930.16,1186.98,1026.12,579.77
2001-03-15,1583.08,928.86,1185.2,1026.14,577.92
2001-03-16,1582.09,922.81,1182.41,1025.93,578.75
2001-03-19,1581.77,923.23,1185.28,1025.84,582.27
2001-03-20,1582.82,924.43,1185.42,1027.01,588.22
2001-03-21,1579.74,920.26,1182.49,1026.5,583.54
2001-03-22,1578.95,918.2,1181.09,1027.84,588.08
2001-03-23,1579.87,913.45,1178.23,1028.46,577.81
2001-03-26,1581.09,913.02,1175.15,1028.12,574.69
2001-03-27,1581.76,910.74,1175.74,1027.06,572.57
2001-03-28,1584.55,911.79,1177.14,1026.29,573.77
2001-03-29,1585.56,915.85,1179.53,1027.35,576.42
2001-03-30,1585.1,913.64,1180.67,1027.7,574.53
2001-04-02,1586.31,912.5,1179.16,1028.66,573.55
2001-04-03,1587.74,913.12,1180.97,1029.48,575.55
2001-04-04,1588.51,910.54,1183.54,1028.62,571.78
2001-04-05,1588.09,911.43,1183.81,1029.16,574.76
2001-04-06,1588.15,911.92,1183.22,1028.59,574.23
2001-04-09,1587.4,914.07,1179.68,1029.57,570.11
2001-04-10,1588.83,912.81,1180.96,1029.65,566.8
2001-04-11,1587.76,911.13,1177.63,1029.46,569.19
2001-04-12,1585.14,908.31,1179.42,1030.09,567.3
2001-04-13,1586.21,908.14,1179.0,1029.96,560.54
2001-04-16,1587.65,905.27,1178.79,1029.2,560.54
2001-04-17,1587.04,904.31,1176.59,1029.25,552.19
2001-04-18,1585.58,903.43,1178.96,1029.82,552.07
2001-04-19,1585.37,905.07,1179.92,1030.08,557.47
2001-04-20,1584.45,905.53,1179.81,1029.74,563.54
2001-04-23,1585.56,902.92,1179.48,1029.59,564.28
2001-04-24,1587.06,899.8,1178.58,1028.68,563.78
2001-04-25,1587.53,904.47,1180.36,1027.97,565.73
2001-04-26,1584.76,905.48,1178.16,1027.47,574.21
2001-04-27,1585.01,904.84,1176.46,1027.01,571.9
2001-04-30,1582.8,904.34,1176.14,1027.77,567.65
2001-05-01,1582.62,904.44,1176.33,1028.27,573.18
2001-05-02,1582.72,907.16,1179.79,1026.84,571.53
2001-05-03,1580.92,906.51,1175.97,1027.35,569.86
2001-05-04,1581.19,908.13,1171.12,1027.93,571.95
2001-05-07,1582.65,912.61,1172.01,1027.47,569.26
2001-05-08,1582.49,911.94,1172.21,1027.91,573.68
2001-05-09,1582.7,912.68,1176.04,1027.73,580.79
2001-05-10,1583.96,910.55,1173.3,1027.64,568.64
2001-05-11,1583.11,908.79,1172.64,1028.63,566.72
2001-05-14,1581.26,909.24,1177.31,1028.14,563.82
2001-05-15,1579.62,912.44,1179.22,1028.23,568.04
2001-05-16,1580.4,912.99,1181.25,1027.95,566.07
2001-05-17,1580.6,909.53,1176.4,1027.16,565.35
2001-05-18,1580.2,911.1,1170.31,1027.46,565.74
2001-05-21,1581.08,910.1,1170.37,1028.54,562.98
2001-05-22,1580.46,911.2,1170.47,1028.81,561.12
2001-05-23,1579.82,910.88,1172.1,1029.43,551.63
2001-05-24,1578.46,914.71,1172.08,1030.53,555.29
2001-05-25,1577.12,912.74,1178.66,1031.21,554.77
2001-05-28,1576.53,915.62,1175.41,1031.18,550.29
2001-05-29,1576.76,913.65,1171.36,1030.46,549.76
2001-05-30,1575.46,910.92,1175.35,1030.87,552.75
2001-05-31,1574.84,906.58,1171.99,1029.2,552.08
2001-06-01,1576.07,908.51,1172.44,1030.6,559.53
2001-06-04,1579.44,906.58,1173.06,1030.18,559.32
2001-06-05,1579.13,907.97,1168.81,1031.3,562.47
2001-06-06,1579.72,903.7,1163.68,1030.61,565.85
2001-06-07,1580.55,907.05,1165.23,1030.47,564.86
2001-06-08,1581.42,906.73,1163.35,1030.38,561.58
2001-06-11,1579.84,905.91,1160.3,1030.86,558.32
2001-06-12,1581.16,909.22,1160.25,1031.1,550.62
2001-06-13,1581.23,908.33,1169.89,1030.83,544.43
2001-06-14,1581.76,905.28,1170.76,1030.83,551.39
2001-06-15,1580.16,905.12,1172.05,1030.5,542.8
2001-06-18,1580.05,905.17,1168.77,1030.14,549.56
2001-06-19,1577.31,904.61,1168.02,1029.83,547.21
2001-06-20,1578.11,907.03,1166.44,1029.88,543.95
2001-06-21,1578.81,903.89,1161.42,1030.59,545.02
2001-06-22,1578.89,904.16,1161.54,1030.31,547.14
2001-06-25,1579.21,904.46,1160.07,1030.65,548.86
2001-06-26,1579.35,904.34,1154.71,1030.14,552.94
2001-06-27,1580.05,908.21,1153.11,1029.2,555.55
2001-06-28,1578.55,904.92,1152.98,1030.04,561.31
2001-06-29,1578.33,904.85,1151.62,1029.5,561.84
2001-07-02,1577.55,905.22,1150.51,1028.52,567.43
2001-07-03,1577.13,908.08,1156.51,1027.53,562.57
2001-07-04,1576.99,906.12,1165.3,1027.16,559.81
2001-07-05,1576.27,901.82,1169.5,1026.58,561.13
2001-07-06,1575.95,903.74,1170.82,1027.98,565.49
2001-07-09,1576.35,900.05,1168.33,1027.35,558.93
2001-07-10,1574.94,899.55,1172.82,1027.11,557.92
2001-07-11,1573.6,897.68,1174.68,1026.83,556.07
2001-07-12,1570.66,897.76,1176.11,1026.03,559.38
2001-07-13,1569.73,899.09,1175.0,1025.02,562.6
2001-07-16,1568.59,901.77,1177.1,1024.33,566.11
2001-07-17,1569.14,904.34,1171.03,1024.81,571.61
2001-07-18,1567.6,902.08,1171.09,1024.74,577.71
2001-07-19,1568.18,901.17,1165.73,1024.42,569.6
2001-07-20,1570.28,898.72,1154.94,1023.8,572.74
2001-07-23,1570.57,898.88,1160.22,1024.08,581.3
2001-07-24,1568.3,896.86,1158.07,1024.14,580.22
2001-07-25,1569.46,896.57,1154.26,1024.21,579.32
2001-07-26,1568.68,898.78,1156.54,1025.57,580.04
2001-07-27,1569.95,899.04,1154.36,1024.84,584.2
2001-07-30,1570.11,899.81,1154.57,1023.98,590.73
2001-07-31,1569.72,902.95,1156.73,1024.26,593.52
2001-08-01,1568.46,903.02,1161.46,1023.95,599.11
2001-08-02,1569.73,904.37,1154.51,1023.39,594.91
2001-08-03,1569.24,902.66,1148.77,1022.57,584.43
2001-08-06,1569.84,903.9,1153.95,1022.63,579.09
2001-08-07,1569.41,902.68,1157.79,1023.34,577.16
2001-08-08,1569.33,903.9,1157.16,1021.72,612.71
2001-08-09,1568.92,899.76,1156.15,1021.78,619.8
2001-08-10,1569.94,908.15,1156.29,1021.68,617.32
2001-08-13,1567.71,914.75,1161.9,1021.67,596.2
2001-08-14,1566.42,910.31,1163.23,1021.53,589.55
2001-08-15,1569.11,911.41,1169.28,1021.06,609.42
2001-08-16,1570.39,907.89,1164.97,1021.74,623.78
2001-08-17,1571.65,914.31,1170.87,1021.41,636.4
2001-08-20,1571.31,915.09,1169.18,1023.31,625.16
2001-08-21,1569.48,923.9,1165.66,1023.09,644.58
2001-08-22,1568.63,921.0,1164.69,1023.44,642.12
2001-08-23,1567.6,924.37,1165.57,1024.81,641.84
2001-08-24,1566.76,916.36,1167.85,1024.77,632.54
2001-08-27,1563.42,909.07,1165.13,1024.71,625.57
2001-08-28,1561.43,907.09,1163.86,1024.78,625.15
2001-08-29,1563.05,908.33,1172.82,1024.45,607.14
2001-08-30,1562.99,907.26,1169.09,1025.1,600.0
2001-08-31,1564.37,905.85,1169.1,1024.54,601.08
2001-09-03,1566.23,901.59,1165.45,1023.31,593.04
2001-09-04,1565.63,899.73,1162.56,1023.51,588.45
2001-09-05,1565.3,898.02,1170.49,1024.0,602.68
2001-09-06,1566.31,902.17,1171.34,1023.26,618.51
2001-09-07,1566.18,897.03,1167.18,1023.11,615.77
2001-09-10,1566.42,892.05,1161.07,1023.0,613.96
2001-09-11,1566.93,895.76,1159.82,1023.85,622.09
2001-09-12,1566.33,896.97,1159.56,1023.88,634.1
2001-09-13,1564.74,893.74,1160.7,1025.28,648.52
2001-09-14,1563.1,895.29,1161.21,1024.76,618.05
2001-09-17,1562.76,903.96,1164.31,1024.2,621.6
2001-09-18,1563.62,916.42,1169.0,1023.83,643.42
2001-09-19,1562.93,919.15,1170.49,1023.35,663.24
2001-09-20,1560.73,917.24,1167.8,1022.12,665.12
2001-09-21,1561.94,923.69,1164.03,1022.7,674.88
2001-09-24,1561.58,923.97,1164.29,1023.22,713.34
2001-09-25,1561.14,923.67,1161.95,1023.8,712.43
2001-09-26,1560.47,921.83,1168.68,1024.12,722.42
2001-09-27,1561.1,922.2,1169.0,1023.96,711.57
2001-09-28,1559.74,927.72,1171.0,1024.1,714.2
2001-10-01,1561.6,928.29,1166.62,1024.21,700.67
2001-10-02,1561.96,925.91,1161.36,1024.12,702.47
2001-10-03,1562.48,927.34,1157.37,1025.42,703.33
2001-10-04,1563.37,922.83,1155.33,1024.61,702.02
2001-10-05,1565.55,927.23,1156.2,1023.95,713.55
2001-10-08,1566.71,930.8,1155.08,1023.27,705.41
2001-10-09,1567.91,928.03,1154.32,1024.44,698.82
2001-10-10,1566.48,924.51,1149.48,1023.24,713.94
2001-10-11,1566.53,918.98,1150.79,1024.08,702.7
2001-10-12,1566.19,922.77,1153.98,1024.61,707.06
2001-10-15,1564.58,927.31,1151.69,1025.16,700.57
2001-10-16,1565.24,927.96,1149.41,1024.68,722.55
